ID,FechaPrestamo,EdadPrestamo,MontoPrestado,Cuotas
1088,2006-01-29 00:00:00,58,955,8
2636,2006-01-31 00:00:00,28,273,8
2630,2006-01-31 00:00:00,35,249,8
2632,2006-01-31 00:00:00,35,349,8
2633,2006-01-31 00:00:00,41,445,8
2616,2006-01-31 00:00:00,48,541,8
2635,2006-01-31 00:00:00,55,413,8
2624,2006-01-31 00:00:00,59,507,8
2640,2006-01-31 00:00:00,61,458,8
3261,2006-02-01 00:00:00,23,365,8
3256,2006-02-01 00:00:00,45,150,8
3259,2006-02-01 00:00:00,52,189,8
1665,2006-02-09 00:00:00,34,299,8
1668,2006-02-09 00:00:00,50,312,8
1977,2006-02-10 00:00:00,22,487,8
1983,2006-02-10 00:00:00,36,162,8
2983,2006-02-11 00:00:00,20,250,8
2877,2006-02-11 00:00:00,23,175,8
2997,2006-02-11 00:00:00,23,522,8
3002,2006-02-11 00:00:00,24,369,8
2863,2006-02-11 00:00:00,26,267,8
2874,2006-02-11 00:00:00,29,234,8
2876,2006-02-11 00:00:00,30,435,8
2999,2006-02-11 00:00:00,31,437,8
2985,2006-02-11 00:00:00,32,354,8
2980,2006-02-11 00:00:00,33,243,8
2979,2006-02-11 00:00:00,33,592,8
2872,2006-02-11 00:00:00,35,318,8
2864,2006-02-11 00:00:00,42,234,8
2998,2006-02-11 00:00:00,50,269,8
2856,2006-02-11 00:00:00,52,358,8
3393,2006-02-13 00:00:00,30,418,8
2822,2006-02-13 00:00:00,36,310,8
2811,2006-02-13 00:00:00,36,428,8
2807,2006-02-13 00:00:00,37,234,8
3394,2006-02-13 00:00:00,47,215,8
3389,2006-02-13 00:00:00,56,213,8
2821,2006-02-13 00:00:00,60,470,8
830,2006-02-27 00:00:00,30,609,8
827,2006-02-27 00:00:00,56,694,8
3365,2006-03-02 00:00:00,35,197,8
3360,2006-03-02 00:00:00,52,318,8
534,2006-03-03 00:00:00,33,327,8
536,2006-03-03 00:00:00,36,213,8
544,2006-03-03 00:00:00,36,251,8
545,2006-03-03 00:00:00,39,377,8
735,2006-03-06 00:00:00,35,673,8
940,2006-03-08 00:00:00,20,896,8
1518,2006-03-09 00:00:00,57,354,8
3051,2006-03-10 00:00:00,31,271,8
3050,2006-03-10 00:00:00,38,250,8
3037,2006-03-10 00:00:00,41,357,8
3044,2006-03-10 00:00:00,60,336,8
1201,2006-03-14 00:00:00,47,823,8
3604,2006-03-22 00:00:00,21,425,8
490,2006-03-22 00:00:00,37,518,8
2441,2006-03-29 00:00:00,40,428,8
2731,2006-04-06 00:00:00,19,467,8
2720,2006-04-06 00:00:00,33,402,8
1930,2006-04-08 00:00:00,37,408,8
1931,2006-04-08 00:00:00,37,415,8
778,2006-04-18 00:00:00,21,333,8
757,2006-04-18 00:00:00,26,629,8
780,2006-04-18 00:00:00,41,330,8
2930,2006-04-19 00:00:00,21,253,8
2932,2006-04-19 00:00:00,36,416,8
2923,2006-04-19 00:00:00,37,483,8
1149,2006-04-19 00:00:00,43,510,8
2929,2006-04-19 00:00:00,57,332,8
3425,2006-04-20 00:00:00,20,392,8
3427,2006-04-20 00:00:00,30,473,8
890,2006-04-20 00:00:00,33,584,8
3416,2006-04-20 00:00:00,34,222,8
3412,2006-04-20 00:00:00,34,237,8
3424,2006-04-20 00:00:00,34,529,8
3418,2006-04-20 00:00:00,35,408,8
3429,2006-04-20 00:00:00,37,228,8
3435,2006-04-20 00:00:00,52,218,8
2187,2006-04-21 00:00:00,26,647,8
2188,2006-04-21 00:00:00,33,616,8
2164,2006-04-21 00:00:00,40,933,8
2171,2006-04-21 00:00:00,49,626,8
2079,2006-04-24 00:00:00,66,291,8
2397,2006-04-27 00:00:00,36,450,8
2403,2006-04-27 00:00:00,41,514,8
3164,2006-05-03 00:00:00,35,381,8
3160,2006-05-03 00:00:00,38,481,8
981,2006-05-03 00:00:00,42,297,8
3146,2006-05-03 00:00:00,48,283,8
3162,2006-05-03 00:00:00,56,230,8
982,2006-05-03 00:00:00,56,316,8
3252,2006-05-04 00:00:00,48,394,8
3127,2006-05-11 00:00:00,24,404,8
1808,2006-05-11 00:00:00,28,443,8
1809,2006-05-11 00:00:00,30,384,8
3115,2006-05-11 00:00:00,31,230,8
3124,2006-05-11 00:00:00,31,242,8
1821,2006-05-11 00:00:00,31,337,8
3130,2006-05-11 00:00:00,32,529,8
3653,2006-05-11 00:00:00,33,350,8
1829,2006-05-11 00:00:00,39,335,8
3658,2006-05-11 00:00:00,40,316,8
1843,2006-05-11 00:00:00,44,203,8
1805,2006-05-11 00:00:00,44,227,8
1816,2006-05-11 00:00:00,46,279,8
3116,2006-05-11 00:00:00,53,376,8
2596,2006-05-24 00:00:00,20,228,8
2599,2006-05-24 00:00:00,29,284,8
2602,2006-05-24 00:00:00,37,288,8
2593,2006-05-24 00:00:00,43,321,8
2607,2006-05-24 00:00:00,44,467,8
1397,2006-05-25 00:00:00,28,206,8
1395,2006-05-25 00:00:00,47,200,8
155,2006-05-26 00:00:00,29,757,8
3573,2006-05-27 00:00:00,35,439,8
3569,2006-05-27 00:00:00,51,233,8
3563,2006-05-27 00:00:00,54,250,8
353,2006-05-30 00:00:00,35,599,8
335,2006-05-30 00:00:00,41,844,8
340,2006-05-30 00:00:00,48,918,8
88,2006-06-06 00:00:00,29,810,8
85,2006-06-06 00:00:00,30,1055,8
81,2006-06-06 00:00:00,36,1005,8
92,2006-06-06 00:00:00,45,824,8
3275,2006-06-08 00:00:00,22,187,8
3265,2006-06-08 00:00:00,39,372,8
2815,2006-06-13 00:00:00,22,399,8
2823,2006-06-13 00:00:00,26,373,8
2816,2006-06-13 00:00:00,27,581,8
2804,2006-06-13 00:00:00,28,426,8
